drug,att_improved,att_not_imp,att_diff,att_ratio,is_lipid_drug,category
Hydrocortisone Na Succ.,0.013247720166748645,0.01514572599394755,-0.0018980058271989043,0.8746837340146405,False,Other
Alteplase,0.017161909639835358,0.019174723513424398,-0.00201281387358904,0.8950277498301422,False,Other
Levalbuterol Neb,0.016124904554869448,0.018163068033754826,-0.0020381634788853784,0.887785286324007,False,Other
Potassium Chloride,0.023002832340305764,0.02505214821537685,-0.002049315875071088,0.9181979981336199,False,Other
Readi-Cat 2 (Barium Sulfate 2% Suspension),0.020675931638106704,0.02277390934018926,-0.002097977702082556,0.9078780164290792,False,Other
CefTRIAXone,0.026552832361874598,0.028714660573314177,-0.0021618282114395787,0.9247134331983481,False,Other
Doxycycline Hyclate,0.024149234406650066,0.02632185413967818,-0.0021726197330281145,0.9174594722127475,False,Other
Vitamin B Complex,0.03267011449982723,0.034923738799989223,-0.002253624300161995,0.9354701307019656,False,Other
Ondansetron,0.03171996165922163,0.03404738473702207,-0.0023274230778004418,0.931641648961376,False,Other
Diltiazem Extended-Release,0.031778630698326885,0.03412482456437179,-0.002346193866044906,0.9312467127378448,False,CCB
Aluminum-Magnesium Hydrox.-Simethicone,0.032948277391759415,0.03539622306191134,-0.002447945670151927,0.9308416136413696,False,Other
Micafungin,0.010113887644062439,0.012566770240664483,-0.002452882596602044,0.8048120121855316,False,Other
Venlafaxine XR,0.03269548998214304,0.03518409209082956,-0.0024886021086865176,0.9292691111010606,False,Other
Timolol Maleate 0.5%,0.03439958152011968,0.0368918650969863,-0.002492283576866615,0.932443546285487,False,Other
Sodium Chloride 3% Inhalation Soln,0.015089562462110604,0.01759028440574184,-0.0025007219436312365,0.8578350476917276,False,Other
Lorazepam,0.02060290508191375,0.023123207163404335,-0.0025203020814905837,0.8910055139116122,False,Other
Latanoprost 0.005% Ophth. Soln.,0.03247978467884105,0.03501185020043825,-0.002532065521597203,0.9276797567937296,False,Other
Carvedilol,0.021653591442787855,0.02421375900684368,-0.002560167564055825,0.894268066212593,False,Beta-blocker
Vasopressin,0.012758394666506271,0.015324345091357827,-0.002565950424851556,0.8325572538627687,False,Other
Erythromycin 0.5% Ophth Oint,0.031814059508698325,0.034456065855920315,-0.0026420063472219896,0.923322460600416,False,Other
Hydrocortisone,0.02320569776929915,0.025862798865499168,-0.0026571010962000187,0.8972616571772293,False,Other
Potassium Chloride (Powder),0.01836572777443003,0.021024508116346215,-0.002658780341916186,0.8735389990004557,False,Other
Fluticasone Propionate NASAL,0.034596405685121234,0.03729366883635521,-0.002697263151233975,0.9276750388096816,False,Other
Sodium Chloride 0.9%  Flush,0.032616719190094234,0.03532440304527727,-0.002707683855183038,0.9233480647440114,False,Other
Enalapril Maleate,0.029010886512696742,0.03176319301128387,-0.0027523064985871294,0.9133491869784826,False,ACE/ARB
Lactulose,0.019860951685767132,0.022635760275941146,-0.002774808590174014,0.87741482696637,False,Other
Tenofovir Disoproxil (Viread),0.033584074738125004,0.03637584252282977,-0.002791767784704767,0.9232521478244076,False,Other
Captopril,0.02029288223928819,0.023144465334939236,-0.002851583095651044,0.8767920081806232,False,Other
Albuterol Inhaler,0.027938353180164292,0.03087858441610669,-0.002940231235942399,0.9047808929217386,False,Other
Allopurinol,0.030702634984137195,0.03368183102566695,-0.0029791960415297553,0.9115488692031177,False,Other
Budesonide,0.028435939457267523,0.03142545931041241,-0.002989519853144884,0.904869493756155,False,Other
Lidocaine 1% (For PICC/Midline Insertions),0.01503736132420368,0.018037943696638324,-0.003000582372434644,0.8336516388509488,False,Other
Dexamethasone,0.0229795906803946,0.025980479622475145,-0.0030008889420805457,0.8844944748639458,False,Other
Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,0.031963102705776694,0.03498169980370081,-0.003018597097924118,0.913709250411989,False,Other
Sodium Chloride,0.01912979017943144,0.022233181109186262,-0.0031033909297548228,0.8604162438782739,False,Other
Ferric Gluconate,0.027067308110417798,0.030195445788127405,-0.0031281376777096068,0.8964036596889865,False,Other
Oxymetazoline,0.02163388006962263,0.024763698904560164,-0.0031298188349375353,0.8736126276207797,False,Other
MethylPREDNISolone Sodium Succ,0.019075310270580435,0.022228144549510696,-0.003152834278930261,0.8581602584098876,False,Other
Ipratropium Bromide MDI,0.01893485688994969,0.022120214865675995,-0.003185357975726305,0.8559978736612982,False,Other
Midazolam,0.012460088556011517,0.01564849872480739,-0.003188410168795874,0.7962481753127332,False,Other
BuPROPion XL (Once Daily),0.031869383553337106,0.03509950441749472,-0.0032301208641576165,0.907972465202454,False,Other
Psyllium Powder,0.03625073298811912,0.03949748857745102,-0.0032467555893318997,0.9177984295643177,False,Other
Promethazine,0.02352229522710497,0.02679243790251868,-0.0032701426754137113,0.8779453110123177,False,Other
Labetalol,0.02550665203117482,0.02889915622369039,-0.0033925041925155705,0.8826088842782708,False,Other
Mirtazapine,0.027390722310189734,0.030811863020062447,-0.0034211407098727123,0.8889667688174158,False,Other
Metoclopramide,0.022124952268223842,0.025570778219505798,-0.0034458259512819556,0.8652436026114596,False,Other
Milk of Magnesia,0.02722891501205809,0.030680321881340608,-0.003451406869282518,0.8875042158087129,False,Other
Norepinephrine,0.013416929667194684,0.016931156907230616,-0.003514227240035932,0.7924402178013513,False,Other
Simethicone,0.02985551508281055,0.033391667474220454,-0.0035361523914099052,0.8941007545029028,False,Other
Methylnaltrexone,0.01920035933809621,0.022739854641258717,-0.0035394953031625057,0.8443483760559964,False,Other
ClonazePAM,0.03126783887855709,0.034864156752040514,-0.003596317873483426,0.896847702382105,False,Other
NIFEdipine (Extended Release),0.035714119434529956,0.039403142556548115,-0.003689023122018159,0.906377438887673,False,CCB
HYDROmorphone (Dilaudid),0.024927819990429336,0.028620412368916357,-0.003692592378487021,0.8709804620950389,False,Other
Dextrose 10% in Water (D10W),0.027545167262164445,0.03127724272073121,-0.0037320754585667623,0.8806776066583047,False,Other
Empagliflozin,0.032450932543724775,0.03619528692215681,-0.003744354378432034,0.8965513276221623,False,Other
Losartan Potassium,0.03697383447932413,0.04080978406220675,-0.0038359495828826154,0.9060041685828222,False,ACE/ARB
